  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
 21.  21.   6.   6.  27.   27.   0.   0.   0.  11.  11.  24.   0.  64.  27.   0. 
  8.   8.  10.  10.   0.    0.  18.  18.  38.  16.  16.  22.   0.  16.  20.   0. 
 12.  12.  34.  34.  12.   12.  10.  10.   0.   8.   8.  24.  23.   8.   8.   0. 
 17.  17.  24.  24.   0.    0.  13.  13.   8.  54.   0.  52.   8.   0.   0.   8. 
 18.  18.  17.  18.  18.   19.   0.   0.   0.   2.  12.   0.  41.   2.   2.   0. 
  0.   0.  14.  14.   4.    4.  18.  18.   0.   8.   5.   0.  12.   5.   5.  39. 
 17.  18.   0.   0.  17.   18.   0.   0.  58.   0.  16.  19.  19.  26.   0.  21. 
  0.   0.  11.  11.  11.   11.   0.   0.   2.   0.   6.   2.  31.   0.   0.   3. 
 12.  12.  36.  37.  19.   19.   5.   5.   0.  10.  10.   6.  17.  10.  10.   0. 
 16.  16.   0.   0.  18.   18.   2.   2.  10.   7.   0.  10.  12.   0.   0.  24. 
  1.   1.  18.  18.  15.   15.   2.   2.   0.   6.  16.   0.   9.   6.   6.   0. 
 11.  11.  43.  43.   0.    0.  32.  32.   2.   2.   0.  50.  14.   0.   0.   2. 
 12.  12.   0.   0.  12.   12.   0.   0.   0.  38.  21.   0.   2.  12.  12.  38. 
  3.   3.   0.   0.  18.   18.  15.  15.  26.   0.   0.  11.  11.   8.  34.  11. 
 12.  13.   0.   0.  12.   13.   0.   0.  42.   0.   3.   2.   2.   7.   0.  28. 
  0.   0.  14.  14.   0.    0.  14.  14.   0.  50.  54.   0.  44.   7.   7.  32. 
 15.  15.   0.   0.   1.    1.  14.  14.  17.  20.  20.  46.   0.  20.  30.   0. 
 30.  31.  12.  12.  14.   14.   4.   5.   8.   8.   0.  22.   8.   0.   0.   8. 
 16.  16.  30.  31.   4.    4.  10.  10.  25.   0.   2.  25.  25.  36.   0.  25. 
 29.  30.  22.  22.   6.    7.   1.   1.   3.  42.  42.  46.   0.  42.  42.   0. 
 17.  18.   4.   5.  25.   26.   3.   4.   0.  16.  16.   0.   3.  16.  42.   0. 
 41.  42.   9.   9.  11.   11.  21.  22.   0.  54.  12.  34.   0.  12.  12.   0. 
 16.  16.  40.  41.   0.    0.  24.  25.  21.   0.   0.  34.  17.   9.   0.  17. 
  4.   5.   6.   7.   0.    0.   2.   2.  32.  40.  40.  42.   0.  42.  40.   0. 
  0.   0.  19.  19.   0.    0.  19.  19.  34.  20.  20.   4.   0.  56.  34.   0. 
  0.   0.  19.  19.   0.    0.  19.  19.  40.   0.   0.  22.  18.  38.  12.  18. 
  3.   3.  24.  24.   0.    0.  27.  27.  53.  19.  19.  12.   0.  19.  28.   0. 
 10.  11.   9.   9.  21.   21.  40.  41.  29.   0.   0.  21.  21.   0.  19.  21. 
 21.  21.   6.   6.  27.   27.   0.   0.   0.   1.   5.   0.   0.  33.   1.  26. 
  4.   4.   5.   5.  12.   12.  21.  21.   7.  16.  16.   0.   0.  16.  16.  27. 
  3.   4.  31.  32.   0.    0.  28.  28.  47.   0.   7.   9.   9.  23.   0.   9. 
  0.   0.  13.  14.   9.   10.  13.  13.  16.   0.   0.  16.  18.   0.  51.  16. 
 23.  23.  16.  16.   7.    7.   0.   0.   0.  39.  38.   0.  60.   2.   2.   0. 
  0.   1.  10.  10.  13.   13.   2.   3.  16.   0.   0.  16.  16.  30.  19.  16. 
 32.  32.  19.  19.  13.   13.   0.   0.   7.  16.   3.   7.  43.   0.   0.   7. 
  0.   0.  16.  16.   3.    4.  12.  13.  16.   0.   2.  16.  16.  16.   0.  28. 
  0.   1.   2.   3.   0.    0.   3.   3.   7.  22.  22.  32.   0.  22.  58.   0. 
 14.  14.   0.   0.  21.   21.   7.   7.  18.   0.   0.  18.  18.  39.   0.  38. 
  0.   0.   7.   7.   5.    5.  12.  12.  36.   0.   0.  18.  18.  46.   3.  18. 
  5.   5.   0.   0.   5.    5.   0.   0.   0.  20.  10.   3.  47.  10.  52.   0. 
 43.  43.   0.   0.  35.   35.  51.  52.  23.  51.   0.  23.  23.   0.   0.  25. 
 15.  15.   0.   0.  32.   32.  17.  17.  20.   0.   0.   1.   1.  28.  48.   1. 
  7.   7.  23.  24.   6.    6.  10.  10.   8.   0.   0.  26.  14.   0.   0.   8. 
  2.   2.  14.  14.   0.    0.  16.  16.   0.  10.  32.   0.   0.   6.   6.  18. 
  5.   6.  13.  13.   1.    2.   6.   6.   6.   0.   0.  24.  10.   0.   0.   6. 
  0.   0.   8.   8.  18.   19.  26.  27.  10.   8.   8.   0.   0.  36.  30.   0. 
  0.   0.   0.   0.   8.    8.   8.   8.   0.  42.  30.   0.  51.  30.  30.   3. 
  0.   0.  39.  39.   0.    0.  39.  39.  20.  46.  12.  20.  21.   0.   0.  24. 
  1.   2.   0.   0.   1.    2.   0.   0.  39.  17.  17.   5.   0.  34.  29.   0. 
 10.  10.   0.   0.   0.    0.  10.  10.  28.   0.  19.  17.  17.   0.   0.  17. 
  0.   1.   7.   8.  13.   14.   5.   6.   8.   0.   0.   8.   8.   0.   0.  18. 
  7.   7.   3.   3.   4.    4.   0.   0.  11.  14.   4.  11.  47.   0.   0.  11. 
 43.  43.  32.  33.  10.   11.   0.   0.  30.   0.   0.  28.  20.   3.   0.  20. 
  0.   0.  15.  16.  12.   13.  28.  28.  41.  16.  16.   0.   0.  59.  16.  51. 
  5.   5.  17.  17.   0.    0.  22.  22.  41.  26.  26.   4.   0.  26.  41.   0. 
 40.  40.  17.  18.   7.    8.  15.  15.  52.  10.   1.  52.  52.   0.   0.  52. 
